Frame,Time,HMD_PosX,HMD_PosY,HMD_PosZ,HMD_RotX,HMD_RotY,HMD_RotZ,L_ctrl_PosX,L_ctrl_PosY,L_ctrl_PosZ,L_ctrl_RotX,L_ctrl_RotY,L_ctrl_RotZ,R_ctrl_PosX,R_ctrl_PosY,R_ctrl_PosZ,R_ctrl_RotX,R_ctrl_RotY,R_ctrl_RotZ,Timestamp
75,11.5674,-0.0239,0.4128,-0.2541,352.541,4.609,359.903,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.1334,0.3617,0.0727,341.144,343.516,317.745,01-08 17:52:31.552
76,11.60957,-0.0278,0.4126,-0.2527,352.328,3.651,0.306,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.1225,0.3626,0.0687,335.483,337.741,319.103,01-08 17:52:31.593
77,11.65057,-0.0320,0.4127,-0.2509,352.252,2.589,0.563,-0.2655,0.0275,0.2762,4.203,19.298,306.780,0.1140,0.3625,0.0730,338.514,347.150,317.451,01-08 17:52:31.634
78,11.69252,-0.0368,0.4123,-0.2499,351.965,1.080,0.605,-0.2655,0.0275,0.2762,4.203,19.299,306.779,0.0997,0.3625,0.0755,337.511,346.171,317.054,01-08 17:52:31.676
79,11.73419,-0.0416,0.4127,-0.2489,351.611,359.681,0.481,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.0802,0.3616,0.0791,339.423,342.771,320.799,01-08 17:52:31.718
80,11.77582,-0.0468,0.4139,-0.2484,351.056,357.999,0.166,-0.2655,0.0275,0.2762,4.203,19.298,306.780,0.0607,0.3592,0.0839,342.677,342.930,323.013,01-08 17:52:31.759
81,11.81746,-0.0521,0.4161,-0.2474,350.095,355.867,359.803,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.0374,0.3558,0.0865,343.418,338.344,325.479,01-08 17:52:31.801
82,11.86082,-0.0573,0.4191,-0.2457,348.098,354.078,358.877,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.0017,0.3474,0.0877,341.362,335.408,331.388,01-08 17:52:31.845
83,11.90114,-0.0631,0.4227,-0.2439,344.635,352.066,357.912,-0.2655,0.0275,0.2762,4.203,19.299,306.779,-0.0357,0.3360,0.0944,342.700,340.429,335.434,01-08 17:52:31.885
84,11.94243,-0.0683,0.4268,-0.2416,341.721,350.362,356.833,-0.2655,0.0275,0.2762,4.203,19.298,306.779,-0.0761,0.3209,0.1020,344.677,342.856,342.989,01-08 17:52:31.925
